Day,Month,Year,Grid Cell Number,First Thickness Measurement (cm),Second Thickness Measurement (cm),Observer(s) Initials
Jour,Mois,Année,Numéro de cellule de grille,Première mesure de l’épaisseur (cm),Deuxième mesure de l’épaisseur (cm),Initiales de l’observateur
26,8,2001,96,60.3,64.2,"MY, JE, DS, PR"
26,8,2001,97,57.3,52.7,"MY, JE, DS, PR"
26,8,2001,98,52.1,54.7,"MY, JE, DS, PR"
26,8,2001,99,37.7,36.4,"MY, JE, DS, PR"
26,8,2001,100,50.6,54.8,"MY, JE, DS, PR"
24,8,2002,1,69.5,69.9,"PR, MY"
24,8,2002,2,65.6,65.8,"PR, MY"
24,8,2002,3,55.6,62.9,"PR, MY"
24,8,2002,4,66.3,60.7,"PR, MY"
24,8,2002,5,62.5,62,"PR, MY"
24,8,2002,6,66.7,64.7,"PR, MY"
24,8,2002,7,56.2,68,"PR, MY"
24,8,2002,8,67.4,60.7,"PR, MY"
24,8,2002,9,71.6,62.1,"PR, MY"
24,8,2002,10,56,58.8,"PR, MY"
24,8,2002,11,51.9,64.6,"PR, MY"
24,8,2002,12,68.3,65.9,"PR, MY"
24,8,2002,13,48.2,56.3,"PR, MY"
24,8,2002,14,52.2,62.4,"PR, MY"
24,8,2002,15,42.3,57.1,"PR, MY"
24,8,2002,16,37.8,59,"PR, MY"
24,8,2002,17,48.3,37.9,"PR, MY"
24,8,2002,18,52.2,62.5,"PR, MY"
24,8,2002,19,51.7,61.6,"PR, MY"
24,8,2002,20,61.7,64.6,"PR, MY"
24,8,2002,21,66.4,65.1,"PR, MY"
24,8,2002,22,53.6,65.1,"PR, MY"
24,8,2002,23,60.2,54.8,"PR, MY"
24,8,2002,24,43.7,57,"PR, MY"
24,8,2002,25,44.4,63.9,"PR, MY"
24,8,2002,26,46.3,61.6,"PR, MY"
24,8,2002,27,48.3,54.6,"PR, MY"
24,8,2002,28,50.4,64.2,"PR, MY"
24,8,2002,29,61.1,62.2,"PR, MY"
24,8,2002,30,63,65.5,"PR, MY"
24,8,2002,31,61.5,63.5,"PR, MY"
24,8,2002,32,62.4,64.8,"PR, MY"
24,8,2002,33,56.3,66.3,"PR, MY"
24,8,2002,34,55.3,60.8,"PR, MY"
24,8,2002,35,44.5,63.6,"PR, MY"
24,8,2002,36,43.6,51.5,"PR, MY"
24,8,2002,37,43.9,63.2,"PR, MY"
