Day,Month,Year,Grid Cell Number,First Thickness Measurement (cm),Second Thickness Measurement (cm),Terrain,Observer Initials
Jour,Mois,Année,Numéro de cellule de grille,Première mesure de l’épaisseur,Deuxième mesure de l’épaisseur,Terrain,Initiales de l’observateur
6,8,2011,3,26,26,FG,"SC, DK"
6,8,2011,4,29,32,FG,"SC, DK"
6,8,2011,5,34,37.5,FG,"SC, DK"
6,8,2011,6,28,27.5,FG,"SC, DK"
6,8,2011,7,27.5,26,FG,"SC, DK"
6,8,2011,8,36,40,FG,"SC, DK"
6,8,2011,9,38.5,49,FG,"SC, DK"
6,8,2011,10,45.5,46,FG,"SC, DK"
6,8,2011,11,66,71,FG,"SC, DK"
6,8,2011,12,43.5,47,FG,"SC, DK"
6,8,2011,13,45.5,33,FG,"SC, DK"
6,8,2011,14,31.5,31,FG,"SC, DK"
6,8,2011,15,24,26,FG,"SC, DK"
6,8,2011,16,29,35,FG,"SC, DK"
6,8,2011,17,30,28,FG,"SC, DK"
6,8,2011,18,27,25.5,FG,"SC, DK"
6,8,2011,19,28.5,29.5,FG,"SC, DK"
6,8,2011,20,23,28.5,FG,"SC, DK"
6,8,2011,21,46,46,FG,"SC, DK"
6,8,2011,22,35.5,47.5,FG,"SC, DK"
6,8,2011,23,33.5,26.5,FG,"SC, DK"
6,8,2011,24,25.5,27,FG,"SC, DK"
6,8,2011,25,39.5,35,FG,"SC, DK"
6,8,2011,26,24,28,FG,"SC, DK"
6,8,2011,27,24,27,FG,"SC, DK"
6,8,2011,28,22,25,FG,"SC, DK"
6,8,2011,29,43,35.5,FG,"SC, DK"
6,8,2011,30,47,44,FG,"SC, DK"
6,8,2011,31,51,52,FG,"SC, DK"
6,8,2011,32,45,44.5,FG,"SC, DK"
6,8,2011,33,29,22,FG,"SC, DK"
6,8,2011,34,26,32,FG,"SC, DK"
6,8,2011,35,27,27,FG,"SC, DK"
6,8,2011,36,24,20,FG,"SC, DK"
6,8,2011,37,22.5,23,FG,"SC, DK"
6,8,2011,38,29,23.5,FG,"SC, DK"
6,8,2011,39,25.5,30,FG,"SC, DK"
6,8,2011,40,24.5,27,FG,"SC, DK"
6,8,2011,41,35.5,38.5,FG,"SC, DK"
6,8,2011,42,41,43.5,FG,"SC, DK"
6,8,2011,43,56,29,FG,"SC, DK"
6,8,2011,44,24,36,FG,"SC, DK"
6,8,2011,45,24,25.5,FG,"SC, DK"
6,8,2011,46,28.5,24.5,FG,"SC, DK"
6,8,2011,47,23,21.5,FG,"SC, DK"
6,8,2011,48,21,27,FG,"SC, DK"
6,8,2011,49,30,33.5,FG,"SC, DK"
6,8,2011,50,35.5,46,FG,"SC, DK"
6,8,2011,51,53,48.5,FG,"SC, DK"
6,8,2011,52,38.5,33,FG,"SC, DK"
6,8,2011,53,27,59.5,FG,"SC, DK"
6,8,2011,54,39,33,FG,"SC, DK"
6,8,2011,55,25,23,FG,"SC, DK"
6,8,2011,56,28,26.5,FG,"SC, DK"
6,8,2011,57,32,36.5,FG,"SC, DK"
